ensembl_gene_id	symbol	tx_biotype
ENSG00000126785	RHOJ	nonsense_mediated_decay
ENSG00000180353	HCLS1	protein_coding
ENSG00000084754	HADHA	protein_coding
ENSG00000149557	FEZ1	processed_transcript
ENSG00000104332	SFRP1	protein_coding
ENSG00000121769	FABP3	protein_coding
ENSG00000154856	APCDD1	protein_coding
ENSG00000138069	RAB1A	processed_transcript
ENSG00000235217	TSPY26P	processed_transcript
ENSG00000168288	MMADHC	protein_coding
ENSG00000225138		antisense
ENSG00000119125	GDA	protein_coding
ENSG00000169679	BUB1	protein_coding
ENSG00000159674	SPON2	protein_coding
ENSG00000131459	GFPT2	protein_coding
ENSG00000006016	CRLF1	processed_transcript
ENSG00000010610	CD4	processed_transcript
ENSG00000130475	FCHO1	protein_coding
ENSG00000181104	F2R	protein_coding
ENSG00000173727		protein_coding
ENSG00000132530	XAF1	retained_intron
ENSG00000152518	ZFP36L2	protein_coding
ENSG00000136425	CIB2	protein_coding
ENSG00000109107	ALDOC	protein_coding
ENSG00000088367	EPB41L1	protein_coding
ENSG00000137507	LRRC32	protein_coding
ENSG00000177106	EPS8L2	protein_coding
ENSG00000107984	DKK1	protein_coding
ENSG00000164929	BAALC	protein_coding
ENSG00000161513	FDXR	nonsense_mediated_decay
ENSG00000151729	SLC25A4	protein_coding
ENSG00000185950	IRS2	protein_coding
ENSG00000147027	TMEM47	protein_coding
ENSG00000152049	KCNE4	protein_coding
ENSG00000170954	ZNF415	nonsense_mediated_decay
ENSG00000065911	MTHFD2	protein_coding
ENSG00000120889	TNFRSF10B	retained_intron
ENSG00000174600	CMKLR1	protein_coding
ENSG00000161671	EMC10	nonsense_mediated_decay
ENSG00000178531	CTXN1	protein_coding
ENSG00000115233	PSMD14	protein_coding
ENSG00000013588	GPRC5A	protein_coding
ENSG00000003402	CFLAR	protein_coding
ENSG00000233117		lincRNA
ENSG00000135968	GCC2	protein_coding
ENSG00000124126	PREX1	nonsense_mediated_decay
ENSG00000135218	CD36	protein_coding
ENSG00000138398	PPIG	protein_coding
ENSG00000151779	NBAS	protein_coding
ENSG00000163214	DHX57	protein_coding
ENSG00000111907	TPD52L1	protein_coding
ENSG00000154518	ATP5MC3	protein_coding
ENSG00000119801	YPEL5	protein_coding
ENSG00000175287	PHYHD1	protein_coding
ENSG00000169126	ARMC4	processed_transcript
ENSG00000143878	RHOB	protein_coding
ENSG00000198753	PLXNB3	protein_coding
ENSG00000138029	HADHB	protein_coding
ENSG00000103888	CEMIP	protein_coding
ENSG00000115648	MLPH	protein_coding
ENSG00000095303	PTGS1	protein_coding
ENSG00000119714	GPR68	protein_coding
ENSG00000182901	RGS7	protein_coding
ENSG00000251322	SHANK3	protein_coding
ENSG00000145147	SLIT2	protein_coding
ENSG00000138375	SMARCAL1	protein_coding
ENSG00000143947	RPS27A	protein_coding
ENSG00000138430	OLA1	protein_coding
ENSG00000182326	C1S	protein_coding
ENSG00000182050	MGAT4C	protein_coding
ENSG00000152953	STK32B	protein_coding
ENSG00000172738	TMEM217	protein_coding
ENSG00000145945	FAM50B	protein_coding
ENSG00000178919	FOXE1	protein_coding
ENSG00000152256	PDK1	protein_coding
ENSG00000171150	SOCS5	protein_coding
ENSG00000013016	EHD3	protein_coding
ENSG00000119185	ITGB1BP1	protein_coding
ENSG00000155438	NIFK	protein_coding
ENSG00000142627	EPHA2	protein_coding
ENSG00000163798	SLC4A1AP	protein_coding
ENSG00000135916	ITM2C	protein_coding
ENSG00000149633	KIAA1755	protein_coding
ENSG00000258128		processed_transcript
ENSG00000171889	MIR31HG	sense_overlapping
ENSG00000116120	FARSB	protein_coding
ENSG00000106484	MEST	protein_coding
ENSG00000065548	ZC3H15	protein_coding
ENSG00000156475	PPP2R2B	protein_coding
ENSG00000136002	ARHGEF4	processed_transcript
ENSG00000164220	F2RL2	protein_coding
ENSG00000125637	PSD4	processed_transcript
ENSG00000116044	NFE2L2	protein_coding
ENSG00000180398	MCFD2	protein_coding
ENSG00000079785	DDX1	protein_coding
ENSG00000163879	DNALI1	protein_coding
ENSG00000172889	EGFL7	protein_coding
ENSG00000149380	P4HA3	processed_transcript
ENSG00000196154	S100A4	protein_coding
ENSG00000140285	FGF7	protein_coding
ENSG00000227619		antisense
ENSG00000143933	CALM2	protein_coding
ENSG00000187134	AKR1C1	processed_transcript
ENSG00000115902	SLC1A4	processed_transcript
ENSG00000147804	SLC39A4	processed_transcript
ENSG00000180228	PRKRA	protein_coding
ENSG00000076706	MCAM	protein_coding
ENSG00000169599	NFU1	protein_coding
ENSG00000153250	RBMS1	processed_transcript
ENSG00000178401	DNAJC22	protein_coding
ENSG00000118785	SPP1	protein_coding
ENSG00000123610	TNFAIP6	protein_coding
ENSG00000225439	BOLA3-AS1	antisense
ENSG00000170417	TMEM182	protein_coding
ENSG00000115970	THADA	protein_coding
ENSG00000225137		processed_pseudogene
ENSG00000108219	TSPAN14	protein_coding
ENSG00000064012	CASP8	protein_coding
ENSG00000115504	EHBP1	protein_coding
ENSG00000142303	ADAMTS10	protein_coding
ENSG00000049759	NEDD4L	protein_coding
ENSG00000132305	IMMT	protein_coding
ENSG00000115839	RAB3GAP1	protein_coding
ENSG00000119820	YIPF4	protein_coding
ENSG00000152127	MGAT5	processed_transcript
ENSG00000143727	ACP1	processed_transcript
ENSG00000068878	PSME4	protein_coding
ENSG00000113722	CDX1	protein_coding
ENSG00000144191	CNGA3	protein_coding
ENSG00000151690	MFSD6	protein_coding
ENSG00000106624	AEBP1	protein_coding
ENSG00000132326	PER2	protein_coding
ENSG00000168385	SEPTIN2	protein_coding
ENSG00000177570	SAMD12	protein_coding
ENSG00000074527	NTN4	protein_coding
ENSG00000147100	SLC16A2	protein_coding
ENSG00000153246	PLA2R1	processed_transcript
ENSG00000115750	TAF1B	protein_coding
ENSG00000244509	APOBEC3C	protein_coding
ENSG00000008517	IL32	protein_coding
ENSG00000154678	PDE1C	protein_coding
ENSG00000186150	UBL4B	protein_coding
ENSG00000103034	NDRG4	protein_coding
ENSG00000120156	TEK	protein_coding
ENSG00000198612	COPS8	protein_coding
ENSG00000163359	COL6A3	processed_transcript
ENSG00000144043	TEX261	protein_coding
ENSG00000105825	TFPI2	protein_coding
ENSG00000115355	CCDC88A	protein_coding
ENSG00000170485	NPAS2	protein_coding
ENSG00000182568	SATB1	protein_coding
ENSG00000224631		processed_transcript
ENSG00000076944	STXBP2	protein_coding
ENSG00000137819	PAQR5	protein_coding
ENSG00000244694	PTCHD4	protein_coding
ENSG00000163013	FBXO41	protein_coding
ENSG00000253305	PCDHGB6	protein_coding
ENSG00000189362	NEMP2	protein_coding
ENSG00000132313	MRPL35	protein_coding
ENSG00000171848	RRM2	protein_coding
ENSG00000119729	RHOQ	processed_transcript
ENSG00000136378	ADAMTS7	protein_coding
ENSG00000171812	COL8A2	protein_coding
ENSG00000196839	ADA	processed_transcript
ENSG00000125266	EFNB2	protein_coding
ENSG00000136999	CCN3	protein_coding
ENSG00000124383	MPHOSPH10	protein_coding
ENSG00000166341	DCHS1	protein_coding
ENSG00000130147	SH3BP4	protein_coding
ENSG00000169604	ANTXR1	protein_coding
ENSG00000055813	CCDC85A	protein_coding
ENSG00000022267	FHL1	protein_coding
ENSG00000115548	KDM3A	protein_coding
ENSG00000153495	TEX29	nonsense_mediated_decay
ENSG00000101412	E2F1	protein_coding
ENSG00000198948	MFAP3L	protein_coding
ENSG00000165633	VSTM4	protein_coding
ENSG00000135624	CCT7	processed_transcript
ENSG00000001617	SEMA3F	protein_coding
ENSG00000144048	DUSP11	protein_coding
ENSG00000153820	SPHKAP	protein_coding
ENSG00000137198	GMPR	protein_coding
ENSG00000183160	TMEM119	protein_coding
ENSG00000115677	HDLBP	protein_coding
ENSG00000170035	UBE2E3	protein_coding
ENSG00000163166	IWS1	nonsense_mediated_decay
ENSG00000089177	KIF16B	protein_coding
ENSG00000148180	GSN	processed_transcript
ENSG00000119041	GTF3C3	protein_coding
ENSG00000068724	TTC7A	protein_coding
ENSG00000135900	MRPL44	protein_coding
ENSG00000071082	RPL31	protein_coding
ENSG00000228526	MIR34AHG	lincRNA
ENSG00000115363	EVA1A	processed_transcript
ENSG00000162643	WDR63	protein_coding
ENSG00000171877	FRMD5	protein_coding
ENSG00000154146	NRGN	protein_coding
ENSG00000146072	TNFRSF21	protein_coding
ENSG00000048052	HDAC9	protein_coding
ENSG00000107295	SH3GL2	processed_transcript
ENSG00000198517	MAFK	protein_coding
ENSG00000079156	OSBPL6	protein_coding
ENSG00000181072	CHRM2	protein_coding
ENSG00000173744	AGFG1	protein_coding
ENSG00000222041	CYTOR	lincRNA
ENSG00000106560	GIMAP2	retained_intron
ENSG00000167703	SLC43A2	protein_coding
ENSG00000172965	MIR4435-2HG	lincRNA
ENSG00000115234	SNX17	protein_coding
ENSG00000088881	EBF4	nonsense_mediated_decay
ENSG00000113448	PDE4D	protein_coding
ENSG00000196460	RFX8	nonsense_mediated_decay
ENSG00000138442	WDR12	protein_coding
ENSG00000151491	EPS8	nonsense_mediated_decay
ENSG00000105711	SCN1B	protein_coding
ENSG00000115415	STAT1	nonsense_mediated_decay
ENSG00000125740	FOSB	protein_coding
ENSG00000186472	PCLO	protein_coding
ENSG00000152147	GEMIN6	protein_coding
ENSG00000262576	PCDHGA4	protein_coding
ENSG00000132386	SERPINF1	protein_coding
ENSG00000174871	CNIH2	protein_coding
ENSG00000128713	HOXD11	processed_transcript
ENSG00000105383	CD33	protein_coding
ENSG00000185088	RPS27L	processed_transcript
ENSG00000260549	MT1L	processed_transcript
ENSG00000115806	GORASP2	processed_transcript
ENSG00000154917	RAB6B	protein_coding
ENSG00000115163	CENPA	processed_transcript
ENSG00000178878	APOLD1	nonsense_mediated_decay
ENSG00000138162	TACC2	retained_intron
ENSG00000149218	ENDOD1	protein_coding
ENSG00000132300	PTCD3	protein_coding
ENSG00000270504		antisense
ENSG00000173692	PSMD1	protein_coding
ENSG00000110042	DTX4	protein_coding
ENSG00000168883	USP39	processed_transcript
ENSG00000115216	NRBP1	protein_coding
ENSG00000042062	RIPOR3	protein_coding
ENSG00000239713	APOBEC3G	protein_coding
ENSG00000102349	KLF8	retained_intron
ENSG00000134574	DDB2	protein_coding
ENSG00000028116	VRK2	protein_coding
ENSG00000128564	VGF	protein_coding
ENSG00000169583	CLIC3	processed_transcript
ENSG00000168994	PXDC1	processed_transcript
ENSG00000198168	SVIP	processed_transcript
ENSG00000213598		processed_pseudogene
ENSG00000153107	ANAPC1	protein_coding
ENSG00000003509	NDUFAF7	nonsense_mediated_decay
ENSG00000115091	ACTR3	protein_coding
ENSG00000123636	BAZ2B	protein_coding
ENSG00000115307	AUP1	nonsense_mediated_decay
ENSG00000115128	SF3B6	protein_coding
ENSG00000166965	RCCD1	protein_coding
ENSG00000036257	CUL3	protein_coding
ENSG00000163249	CCNYL1	protein_coding
ENSG00000114942	EEF1B2	protein_coding
ENSG00000115762	PLEKHB2	protein_coding
ENSG00000088205	DDX18	protein_coding
ENSG00000135956	TMEM127	protein_coding
ENSG00000170345	FOS	protein_coding
ENSG00000115239	ASB3	protein_coding
ENSG00000196335	STK31	protein_coding
ENSG00000067840	PDZD4	protein_coding
ENSG00000119760	SUPT7L	protein_coding
ENSG00000124356	STAMBP	protein_coding
ENSG00000144021	CIAO1	protein_coding
ENSG00000088280	ASAP3	protein_coding
ENSG00000183691	NOG	protein_coding
ENSG00000144488	ESPNL	protein_coding
ENSG00000162972	MAIP1	protein_coding
ENSG00000112964	GHR	protein_coding
ENSG00000081853	PCDHGA2	retained_intron
ENSG00000079841	RIMS1	retained_intron
ENSG00000125534	PPDPF	protein_coding
ENSG00000148798	INA	protein_coding
ENSG00000176407	KCMF1	protein_coding
ENSG00000171103	TRMT61B	protein_coding
ENSG00000167601	AXL	protein_coding
ENSG00000118960	HS1BP3	nonsense_mediated_decay
ENSG00000112294	ALDH5A1	protein_coding
ENSG00000196782	MAML3	protein_coding
ENSG00000149131	SERPING1	protein_coding
ENSG00000144057	ST6GAL2	protein_coding
ENSG00000213430		processed_pseudogene
ENSG00000223756	TSSC2	processed_transcript
ENSG00000107438	PDLIM1	protein_coding
ENSG00000164283	ESM1	protein_coding
ENSG00000172572	PDE3A	protein_coding
ENSG00000166670	MMP10	protein_coding
ENSG00000115211	EIF2B4	protein_coding
ENSG00000134324	LPIN1	processed_transcript
ENSG00000126005	MMP24OS	antisense
ENSG00000116030	SUMO1	protein_coding
ENSG00000169507	SLC38A11	protein_coding
ENSG00000197093	GAL3ST4	protein_coding
ENSG00000055044	NOP58	protein_coding
ENSG00000239305	RNF103	protein_coding
ENSG00000143797	MBOAT2	protein_coding
ENSG00000204843	DCTN1	protein_coding
ENSG00000171791	BCL2	protein_coding
ENSG00000214814	FER1L6	protein_coding
ENSG00000129048	ACKR4	protein_coding
ENSG00000038945	MSR1	protein_coding
ENSG00000137959	IFI44L	protein_coding
ENSG00000161921	CXCL16	protein_coding
ENSG00000168461	RAB31	protein_coding
ENSG00000120437	ACAT2	protein_coding
ENSG00000115761	NOL10	protein_coding
ENSG00000126561	STAT5A	protein_coding
ENSG00000076641	PAG1	protein_coding
ENSG00000100003	SEC14L2	protein_coding
ENSG00000138002	IFT172	protein_coding
ENSG00000259091	LINC00517	antisense
ENSG00000198846	TOX	protein_coding
ENSG00000084234	APLP2	processed_transcript
ENSG00000198399	ITSN2	retained_intron
ENSG00000138382	METTL5	protein_coding
ENSG00000154134	ROBO3	protein_coding
ENSG00000116127	ALMS1	protein_coding
ENSG00000169607	CKAP2L	protein_coding
ENSG00000169508	GPR183	protein_coding
ENSG00000144029	MRPS5	protein_coding
ENSG00000128641	MYO1B	protein_coding
ENSG00000232679		lincRNA
ENSG00000145681	HAPLN1	protein_coding
ENSG00000174343	CHRNA9	protein_coding
ENSG00000135972	MRPS9	protein_coding
ENSG00000196172	ZNF681	protein_coding
ENSG00000162849	KIF26B	protein_coding
ENSG00000077232	DNAJC10	protein_coding
ENSG00000211448	DIO2	protein_coding
ENSG00000061656	SPAG4	protein_coding
ENSG00000108679	LGALS3BP	protein_coding
ENSG00000135930	EIF4E2	protein_coding
ENSG00000137809	ITGA11	protein_coding
ENSG00000137801	THBS1	protein_coding
ENSG00000135480	KRT7	processed_transcript
ENSG00000124370	MCEE	protein_coding
ENSG00000138095	LRPPRC	protein_coding
ENSG00000185404	SP140L	protein_coding
ENSG00000123388	HOXC11	protein_coding
ENSG00000006607	FARP2	protein_coding
ENSG00000166741	NNMT	processed_transcript
ENSG00000169908	TM4SF1	protein_coding
ENSG00000081923	ATP8B1	protein_coding
ENSG00000049323	LTBP1	protein_coding
ENSG00000163002	NUP35	protein_coding
ENSG00000197928	ZNF677	protein_coding
ENSG00000249992	TMEM158	protein_coding
ENSG00000152133	GPATCH11	protein_coding
ENSG00000115694	STK25	protein_coding
ENSG00000144034	TPRKB	processed_transcript
ENSG00000273038		lincRNA
ENSG00000058085	LAMC2	protein_coding
ENSG00000102547	CAB39L	protein_coding
ENSG00000115241	PPM1G	protein_coding
ENSG00000184898	RBM43	protein_coding
ENSG00000197119	SLC25A29	protein_coding
ENSG00000172428	COPS9	protein_coding
ENSG00000144712	CAND2	protein_coding
ENSG00000064225	ST3GAL6	retained_intron
ENSG00000138606	SHF	protein_coding
ENSG00000203706		antisense
ENSG00000153827	TRIP12	protein_coding
ENSG00000115317	HTRA2	protein_coding
ENSG00000154734	ADAMTS1	protein_coding
ENSG00000130340	SNX9	protein_coding
ENSG00000221923	ZNF880	protein_coding
ENSG00000026103	FAS	protein_coding
ENSG00000196290	NIF3L1	protein_coding
ENSG00000222022		protein_coding
ENSG00000164362	TERT	retained_intron
ENSG00000068912	ERLEC1	processed_transcript
ENSG00000115944	COX7A2L	protein_coding
ENSG00000135974	C2orf49	protein_coding
ENSG00000085741	WNT11	protein_coding
ENSG00000138074	SLC5A6	retained_intron
ENSG00000140945	CDH13	protein_coding
ENSG00000117152	RGS4	protein_coding
ENSG00000146054	TRIM7	protein_coding
ENSG00000163516	ANKZF1	protein_coding
ENSG00000153233	PTPRR	protein_coding
ENSG00000108846	ABCC3	protein_coding
ENSG00000076003	MCM6	protein_coding
ENSG00000138433	CIR1	protein_coding
ENSG00000198522	GPN1	processed_transcript
ENSG00000112619	PRPH2	protein_coding
ENSG00000198189	HSD17B11	protein_coding
ENSG00000197756	RPL37A	protein_coding
ENSG00000204217	BMPR2	protein_coding
ENSG00000211460	TSN	protein_coding
ENSG00000115486	GGCX	protein_coding
ENSG00000138385	SSB	protein_coding
ENSG00000134313	KIDINS220	processed_transcript
ENSG00000183943	PRKX	protein_coding
ENSG00000204291	COL15A1	processed_transcript
ENSG00000188153	COL4A5	processed_transcript
ENSG00000114999	TTL	protein_coding
ENSG00000143816	WNT9A	protein_coding
ENSG00000198380	GFPT1	protein_coding
ENSG00000183048	SLC25A10	nonsense_mediated_decay
ENSG00000248927		lincRNA
ENSG00000029534	ANK1	protein_coding
ENSG00000119777	TMEM214	retained_intron
ENSG00000136536	MARCHF7	protein_coding
ENSG00000258673	LINC01397	antisense
ENSG00000116005	PCYOX1	protein_coding
ENSG00000162976	SLC66A3	protein_coding
ENSG00000068697	LAPTM4A	protein_coding
ENSG00000118816	CCNI	protein_coding
ENSG00000165821	SALL2	protein_coding
ENSG00000127328	RAB3IP	protein_coding
ENSG00000174307	PHLDA3	protein_coding
ENSG00000178031	ADAMTSL1	protein_coding
ENSG00000223764	LINC02593	retained_intron
ENSG00000101311	FERMT1	processed_transcript
ENSG00000129946	SHC2	retained_intron
ENSG00000168575	SLC20A2	protein_coding
ENSG00000171853	TRAPPC12	protein_coding
ENSG00000164107	HAND2	nonsense_mediated_decay
ENSG00000132026	RTBDN	protein_coding
ENSG00000182272	B4GALNT4	retained_intron
ENSG00000169122	FAM110B	processed_transcript
ENSG00000082258	CCNT2	nonsense_mediated_decay
ENSG00000115129	TP53I3	protein_coding
ENSG00000182551	ADI1	protein_coding
ENSG00000068654	POLR1A	protein_coding
ENSG00000082458	DLG3	protein_coding
ENSG00000115053	NCL	protein_coding
ENSG00000163535	SGO2	protein_coding
ENSG00000187398	LUZP2	processed_transcript
ENSG00000157510	AFAP1L1	retained_intron
ENSG00000174939	ASPHD1	protein_coding
ENSG00000152076	CCDC74B	retained_intron
ENSG00000115368	WDR75	protein_coding
ENSG00000110092	CCND1	protein_coding
ENSG00000157873	TNFRSF14	protein_coding
ENSG00000042445	RETSAT	nonsense_mediated_decay
ENSG00000267123	SCAT1	lincRNA
ENSG00000171863	RPS7	protein_coding
ENSG00000170577	SIX2	protein_coding
ENSG00000197594	ENPP1	retained_intron
ENSG00000185885	IFITM1	protein_coding
ENSG00000143507	DUSP10	protein_coding
ENSG00000100065	CARD10	retained_intron
ENSG00000119004	CYP20A1	protein_coding
ENSG00000164484	TMEM200A	protein_coding
ENSG00000115282	TTC31	retained_intron
ENSG00000122691	TWIST1	nonsense_mediated_decay
ENSG00000251003		antisense
ENSG00000171865	RNASEH1	nonsense_mediated_decay
ENSG00000241360	PDXP	protein_coding
ENSG00000229981	LINC01435	lincRNA
ENSG00000115459	ELMOD3	processed_transcript
ENSG00000236480		processed_pseudogene
ENSG00000211455	STK38L	protein_coding
ENSG00000128274	A4GALT	protein_coding
ENSG00000135999	EPC2	protein_coding
ENSG00000168894	RNF181	retained_intron
ENSG00000155755	TMEM237	protein_coding
ENSG00000137203	TFAP2A	protein_coding
ENSG00000055917	PUM2	protein_coding
ENSG00000163947	ARHGEF3	protein_coding
ENSG00000143344	RGL1	protein_coding
ENSG00000234171	RNASEH1-AS1	antisense
ENSG00000186866	POFUT2	processed_transcript
ENSG00000129514	FOXA1	protein_coding
ENSG00000213300		processed_pseudogene
ENSG00000164976	MYORG	protein_coding
ENSG00000189001	SBSN	protein_coding
ENSG00000144026	ZNF514	retained_intron
ENSG00000171603	CLSTN1	protein_coding
ENSG00000136928	GABBR2	protein_coding
ENSG00000198113	TOR4A	protein_coding
ENSG00000265972	TXNIP	protein_coding
ENSG00000115073	ACTR1B	protein_coding
ENSG00000171444	MCC	protein_coding
